,prod,title,date,ver.purchase,format,stars,comments,attitude
313,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks if you don't mind some initial pilling.
  
",9-Mar-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          These socks are ideal.  They fit well (XL, Size: 13.0), look good, are relatively inexpensive.  The one drawback is most of them start to ""pill"" a bit after one or two uses.  Fortunately that's all.  It doesn't continue and the socks continue to perform.  ",
314,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks
  
",5-Jul-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          Great quality, fit and comfort.  ",
315,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Exactly as expected
  
",13-Aug-21,1,Number of Items: 6Pink Clay AssortedSize: Medium,5,          I love that these socks were exactly what I wanted and expected. I actually got 12 pairs instead of 6 for the price of one very cute socks  ,
316,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Pretty decent socks
  
",5-Dec-16,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,          Pretty decent socks. I work as an ER nurse and run 12 hour shifts in these. Last about 6 months. Before needing to re-order. Much better than Target or Walmart socks. Smart wool is a better sock but cost 17-20 a pair and only last about 9 months for me. For the price you can't go wrong.  ,
317,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Real comfortable!!
  
",30-Jul-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          Love them just wish I got in white and black. Charcoal isn’t my color but the comfort makes up for it  ,
318,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    As expected
  
",6-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,"          Fits true to size, doesn’t shrink a lot but does shrink when first washed. Wash with 1 cup of white vinegar to lock in the black color.  ",
319,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Disposable socks
  
",9-Nov-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          These are comfortable socks that fit snuggly and are fairly soft. However, I’ve thrown each pair away after first use because they fray and stretch apart very easily. These socks are very cheaply made. I definitely wouldn’t recommend them.  ",
320,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They shrink a little
  
",17-May-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,"          Thats the only issue, other than them shrinking just a tad they are great  ",
321,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Under Armor Resistor Lo cut Socks.  6pack
  
",28-Dec-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Love these socks.  they fit tight but right.  Dont snag on my hang nails like other name brand socks do.  Good Investment for a 1 year.  Im hard on my socks . form sweat form working out and running.  ,
322,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Under armor Socks!!
  
",31-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          These socks are so comfortable and my Grandson loves them  ,
323,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks
  
",14-Jan-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Husband loves them.  ,
324,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable but not great quality
  
",17-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,"          Feel very comfortable, but they are already showing signs that they aren't going to hold up very well. Little disappointed...  ",
325,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great
  
",28-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Feels great fits great.. holds up to working landscape  ,
326,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Perfect...
  
",2-Aug-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,          A little on the pricey side...nice product & fast service  ,
327,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Well made
  
",20-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Absolutely perfect. Just what I wanted. Very well made.  ,
328,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    It was ok
  
",16-Apr-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,3,          Size was ok and it does fits to me. But i found it was smelling after few months.  ,
329,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    excellent
  
",18-Feb-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          excellent  ,
330,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Look nice till you use them
  
",8-Mar-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,"          Look nice but felt like they were coming apart upon first wear. Paying for what you get. So far no holes, but look like I've had them 3 years after 2 uses  ",
331,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Socks
  
",7-Mar-21,1,Number of Items: 6Petrol Blue AssortedSize: Medium,1,          Not happy with product  ,
332,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Recent quality may be slipping
  
",18-Sep-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,3,"          After just one or two washes, there is fraying at the border of the white & blue fabric. The prior version lasted over a year. Also, it would be nice if they were offered in extra large size.  ",
333,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Terrible Socks
  
",8-Aug-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Ordered these as part of the Prime Day deals looking for some nice work-out socks and I have been incredibly disappointed. After a handful of work-outs, going through several pairs, two of the six already have holes forming in the bottom of the sock and this is even before washing. While Amazon was kind enough to refund, I would strongly recommend against purchasing these particular socks. An overall poor performance from a touted brand.  ",
334,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Survived two wash cycles
  
",6-Mar-22,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          After two wash cycles, I have holes in the stitching around the heels.  ",
335,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable. Short but don't fall off.
  
",11-Jul-21,1,Number of Items: 6Black/Cerise AssortedSize: Medium,5,          I like these a lot.  ,
336,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Under Armour Socks
  
",31-Dec-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          They seem to be of good quality and true to size.  I have size 13 feet and they slip on easily.  ,
337,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Ok
  
",26-Feb-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,4,          Ok  ,
338,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not durable
  
",26-Sep-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,          These socks are comfortable but not durable at all. After a couples washes they started having holes. Not worth the price.  ,
339,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    these are great for size 13's with a little room to go ...
  
",23-Nov-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          So hard to find extended size socks, these are great for size 13's with a little room to go up another size for my 14 year old.  ",
340,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor quality
  
",5-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          These balled up after one wash.  Disappointed in overall quality.  ,
341,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not for me
  
",22-Jan-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,          Runs to big  ,
342,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good
  
",2-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,4,          I mean they're socks....they work great as....socks.  ,
343,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    North Face always makes great socks
  
",1-Jan-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          ware these socks before so I know they were good.  Price was good so I bought them here.  ,
344,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not 12-16 size
  
",6-Jun-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,"          The first time my husband put these on, they are way too small for a size 13 shoe. I hate to see someone who wears a larger size than him. These are at best a size 12 only. No where on the package does it say 12-16, only XLG.  ",
345,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good
  
",21-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          Perfect size for my husband, low profile for his tennis shoes  ",
346,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good sox
  
",13-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          These sox are definitely a good buy I like them  ,
347,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Fall Apart
  
",29-Jan-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          Half of the socks came apart on the side where the colors come together.  Super socks otherwise.  Very comfortable.  ,
348,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These socks are breathable, fitted, and moisture whicking ...
  
",16-May-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,2,"          These socks are breathable, fitted, and moisture whicking. You should interpret this to mean they are thin socks that will barely cover your feet, made from fabric that comes undone easier than your grandma's yarn blanket.  Under Armour is merely selling the logo here.  ",
349,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great ankle socks for working out
  
",13-May-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          I got these to work out in. They're nice fitting, I believe I ordered the size 8-12 but I am a size 13. They have nice padding and my feet aren't affected by my exercises which include running on a treadmill, squats, deadlifts. Would recommend for a cheap pair of socks!  ",
350,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Science Diet Dog food
  
",31-Jul-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,          My Grandson loved the socks !! Thank you !!  ,
351,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Wouldn't buy again.
  
",8-Sep-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          Comfortable socks. But they do not wear well at all. After a few washes they looked like I had worm them for years. I expected better from Under Armor.  ,
352,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Perfect fit
  
",6-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Love the fit. Bought some under armor no show socks my size that I struggled to keep on my feet. These slide on and never fall off.  ,
353,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    DISAPPOINTED
  
",8-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          After wear them one time and 1 washing they're unravelling and beading up ... not what I expected from the UNDERARMOUR brand ... DISAPPOINTED  ,
354,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    I think they're great socks. They fit my size 13 perfectly
  
",29-Apr-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          I think they're great socks. They fit my size 13ft perfectly  ,
355,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable but poor durability
  
",27-Sep-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,"          Very comfortable socks, however in two months at least three have developed holes that have had to be sewn.  I love the socks but not the durability.  If the return window was open I would probably send them back and try another style.  ",
356,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They dont' fit as expected, they fit like they were made for my feet
  
",1-Sep-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          They didn't fit as expected.  They fit like they were made exactly for my feet.  They are the most comfortable UA socks I've ever owned.  I will likely buy another 6 pack before they discontinue them because I love them.  ,
357,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor quality
  
",30-Sep-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,          These socks developed holes after only a couple times that my son wore them. He has never had holes on the sides of any of his socks in the past.  ,
358,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great fit
  
",5-Sep-20,1,Number of Items: 6Black/WhiteSize: Large,5,          I liked the socks and they fit great  ,
359,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Made in China
  
",10-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,4,"          These are licensed and built by Gildan in China. Its a nice sock, no idea yet how durable they are.  ",
360,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Horrible quality
  
",17-Jan-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,2,"          After one use they were ready to be thrown out, they did not wash well at all.  ",
361,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great fit and comfort
  
",18-Jan-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          I am very particular about my low cut sox, these were great. Didn't slide in the show, soft and breathable  ",
362,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Counterfeit, not UA
  
",18-Nov-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,          I've been wearing of UA Resistor for 5 years. And I can definitely say that these are not UA. They fall apart after first wash. They don't have the size print. And overall they seem to be very poor quality  ,
363,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    good low socks for sports
  
",31-Aug-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          good comfort and support.  ,
364,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Best socks made
  
",11-Nov-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Best socks made  ,
365,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    One Star
  
",2-Apr-18,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,          Socks showed up with stitching out.  They already tore.  Not expected of under armor  ,
366,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Only socks I wear
  
",17-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Ive worn this sock or it’s tall version everyday for the past couple years. They’ve held up with continuous wear and are really comfy.  ,
367,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Lovely Soft Comfy
  
",7-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Love these socks. Wear them every day. They hold up for a decent amount of time and start out with a lot of cushion and good feel. Replace every other year.  ,
368,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks!
  
",9-Dec-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          They are a thicker sock, not see through, and I have yet to put a hole in any of them  ",
369,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Falls apart fast!
  
",13-Oct-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,3,          Flimsy.  Starts to fray almost immediately.  I have had them for a couple of weeks and worn each pair 2-3 times.  The socka already show significant wear!  ,
370,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    👍
  
",25-Apr-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          👍  ,
371,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Most comfortable socks ever
  
",30-Aug-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Love these socks. They don’t have that uncomfortable toe seam that bothers you the whole time you have the sock on. They are also nice and thick and feel really cushioned on your foot. They don’t slip off and really stay put the whole time you have them on! Only sock we use!  ,
372,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfort
  
",2-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Started a new job where I'd be on my feet all day so these socks with my new under armour shoes went great together felt so comfortable and think it was just a great pair because don't have sore feet after 9 hours  ,
373,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Socks
  
",10-Mar-22,1,Number of Items: 6Black/Azure TealSize: Medium,5,          Loves these comfortable and soft  ,
374,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable
  
",24-Oct-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Great for workout  ,
375,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable and durable
  
",22-Dec-20,1,Number of Items: 6Petrol Blue AssortedSize: Medium,5,          Great product for fit and durability.  ,
376,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not buying this again.
  
",13-Aug-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,"          Sock is comfortable, but they rip easy. Have already trashed 2 pair. Had hold in them. Not worth the price your paying for name only on this. Sorry UA but this one is a no go. You get 3 stars only because they are comfortable and you sell them in a size large enough for me. 15 US size.  ",
377,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks!
  
",17-Nov-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,"          My son loves these socks. He's very picky about what goes on his feet. These are squishy enough for him, and the seam at the toe lands in the right spot every time so he's not fussing around with it when getting ready. They are also a great value for a 6 pack of socks.  ",
378,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable but ware fast
  
",26-May-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,          Look and feel great but not very durable. The button of the feet start to get worn fast.  ,
379,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Very comfortable and great material
  
",21-May-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Perfect socks for anytime wear and working out~  ,
380,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great Fit!
  
",1-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          These socks are comfortable and durable.  ,
381,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Excellent sock, great price!
  
",6-Sep-16,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,"          Great sox -- very comfortable, just the right amount of padding, and they stay nicely in place.  Tried them for golf, running, tennis, and gym workouts, and they don't ride down or get pulled out of position ever.  ",
382,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Attacked by wolverine.
  
",20-May-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,2,          These are trash. They shred. Can’t tell inside from outside. Embarrassing to wear because they are so ugly  ,
383,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    noice
  
",6-Apr-20,1,Number of Items: 6Petrol Blue AssortedSize: Medium,4,          A pretty good sock. Worked for what I needed it for.  ,
384,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    My comfort socks
  
",23-Mar-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          I love these. Great for both workouts and casual wear.  ,
385,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Worst set of socks I have owned thus far
  
",12-Jul-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,"          Honestly, I don't think that I have ever own a horrible set of socks. These socks started to fall apart after the first wash, threads are starting to come out of the bottom of the socks. Threads are coming loose from inside of the socks. I don't know what Under Armour has done but their quality of product is slowly going down the drain and now you are just paying for the name.  ",
386,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Do not waste your money
  
",27-Nov-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,          After two months the socks are falling apart! The old underarms was so much bettering  ,
387,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comforts
  
",16-Sep-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Good quality and comfortable  ,
388,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Super comfy
  
",22-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          These socks feel amazing. Love them. Will definitely reorder.  ,
389,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great item
  
",25-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Great item fast shipping  ,
390,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Too small!!!
  
",6-Sep-19,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,          It said for up to a 16 shoe size.  I wear a 13 and I ended up giving the socks to my daughter.  ,
391,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Very Comfortable Socks
  
",22-Oct-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          Great socks, very soft & comfortable fit. For me, the right ankle height to be just above the edge of the shoe to prevent any rubbing/blisters, etc...  ",
392,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Worth it
  
",13-Oct-20,1,Number of Items: 6Petrol Blue AssortedSize: Medium,5,          These are a great deal.  I wear mine to run and with my converse.  ,
393,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Super comfortable
  
",7-Feb-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          Soft, comfortable and durable for every day or working out.  ",
394,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not “Low Cut”. Rides over ankle.
  
",23-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,"          These are not what I would consider “low cut”. They ride above the ankle. Other than that, they are good.  ",
395,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good affordable athletic sock which come in extended size
  
",30-Dec-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Love these socks as they come in XL size which is often hard to find.  ,
396,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great Socks
  
",9-Feb-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Thick and comfortable  ,
397,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Quality you would expect
  
",13-Nov-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          I have been a fan of Under Armour products for years now and their quality. These socks have been the perfect fit and just what I needed.  ,
398,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good wuality
  
",23-Apr-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          Good quality  ,
399,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great value
  
",2-Jul-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          Comfortable and fits well  ,
400,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    bad quality!
  
",18-Dec-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          After 1 use and 1 wash, attached is a picture comparing a new pair with an use pair  ",
401,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Has my hubby's approval and that's no easy task!
  
",18-Dec-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          Worth every penny! We are not longer buying anything but these! Great socks! :-)  ,
402,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks!
  
",1-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          My sons likes them a lot  ,
403,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    5☆
  
",4-Sep-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          nice socks  ,
404,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They are a great sock. Life long wearer
  
",6-Jan-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,4,"          They are a great sock. Life long wearer, love how they form to your feet and fit nice and snug. Only thing that can be annoying is they have tended to get thicker over the years. Which does affect the wicking ability of moisture.  ",
405,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    great socks
  
",21-Dec-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          they feel good  ,
406,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Awesome
  
",18-Feb-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          Great socks . Comfy fit great Awesome  ,
407,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great
  
",11-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          My son has very large feet. I have trouble finding socks that fit and are comfortable for him. These are great!  ,
408,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Smaller than claimed
  
",13-Apr-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,"          Very tight on size 13, yet claims to fit up to size 15  ",
409,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Nice
  
",31-Aug-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          Very nice  ,
410,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfy and good fit
  
",6-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          So far so good with these socks. Wear size 13 shoe and fit was how I like, also comfortable.  ",
411,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comodidad al maximo
  
",24-Apr-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          Excelente producto  ,
412,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great men socks
  
",10-Jul-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          My husband love them. They don't shed to much.  ,
413,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    durable wearable socks
  
",28-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          durable wearable socks  ,
414,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Best socks ever
  
",15-Dec-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,          They last a long time  ,
415,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great product
  
",4-Nov-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,          These are very comfortable and durable. I won't buy any other brand.  ,
416,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great quailty
  
",18-Aug-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          I love these short sport socks.  ,
417,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They last
  
",24-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          My teen is hard on clothes and these have been great year over year. Third size/purchase.  ,
418,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    As good as socks come
  
",11-Oct-19,1,Number of Items: 6Petrol Blue AssortedSize: Medium,5,          Love these and will buy again. I was skeptical about the reviews of them slipping off but they’re secure and stay on better than other socks I’ve bought.  ,
